未道修,大爱无疆啊,10分
xin_TEKABO,讲的很详细，容易理解，如果增加课后练习就更好了,8分
xuxinxin,好,10分
EdgarX,虽然是c++实现的，但重要的时思想。,10分
wolverine00,太好了，谢谢老师无私奉献,8分
qq_GutenMorgenD_03322570,讲的很详细，容易理解，如果增加课后练习就更好了,10分
Feater,,10分
qq_星辰_4,讲解的非常详细，赞一个。,10分
Freya0_0,32个赞！,10分
AAAAAxirzat,好好好好好,8分
灿烂满天星,不错不错,10分
阳夕,很好很好很好很好,10分
小叶柏杉,,10分
tulele,这个老师讲的非常好 逻辑清晰,10分
qq_七夏光年_0,数据结构好难 ，听懂了点,10分
＂xiaopengゝ,不错不错,10分
珠峰长啸,非常棒，给老师点赞！,10分
小河马么么哒,很实用,10分
潘1997123,很好很实用的课,10分
qq_卩丬瀷er鑿_0,一直不知道什么是数据结构，看了这个很有收货,10分
PhoenixJew,如果可以把数据结构这个系列并到一起就好了,10分
C_Shawn,讲的很好，收获很多，谢谢！,10分
qq_乖宝i_0,课程很好 很注重实际,10分
MiMeiK,很清晰很不错，比看书强了好多,6分
慕粉3305193,非常好,8分
ShaniceWang3301848,挺不错的，，理论与实践相结合,10分
小黄人Airs,谢谢老师！！！受益匪浅！！！,10分
别担心_有我陪着你,不错,10分
爱哭的男孩_0001,,10分
zy1993,,10分
zsdzzysdo,挺不错的课，详细+,10分
simonster,非常好，期待新课程,10分
灰瑟,讲的很好，比学校的通俗易懂,10分
慕粉3199361,通俗易懂，很清晰，谢谢,10分
不惧亢龙,真厉害的老师，很好的视频，期待，催更，下一个数据结构视频,10分
小晏,,10分
qq_印记流光幻灭永恒_0,讲的十分清晰啊，期待更多的数据结构内容,10分
tp_ysu,,10分
鱼0123456,好评！期待更精彩内容,10分
qq_逗逼_2,不错！！,6分
一颗苹果,,8分
LittleBoy,讲的十分清晰，期待更多的数据结构内容,10分
lifebackwards,,10分
Calculus01,很好,10分
无敌的小AI,讲的十分清晰啊，期待更多的数据结构内容o(*≧▽≦)ツ,10分
Limbo__H,期待下一讲,10分
qq_惜雨微辰_0,相当不错,10分
qq_abc_18,很不错，还望下一期的，快点分享哈,10分
qq_一夕_0,,10分
zhangxia111111,不错，，，，，，，，,10分
