HeavyCrab,一些没必要扣的定义类的东西真的可以略去。很多定义和平时人们在用的也不一样。一些算法像KMP之类的，写法又比较奇怪。什么“优化后的KMP”，所谓的优化仅仅是特判掉了相同字母的情况，别说复杂度，就连常数因子都没有改善，这类东西让人觉得不知所云。,1.0
Little_Blue,我觉得不错,5.0
mooc1530938506519,非常非常清楚,5.0
公管162016311684付峻豪,棒！强烈推荐,5.0
mooc1522722385562,为陈老师的课程疯狂打call！,5.0
toaruj,陈斌老师的pyyhon非常有趣，讲的算法也有一定深度，作业还可以刺激艺术细胞，妙啊,5.0
YukkuriC,内容丰富，考察全面,5.0
耿小白,让我学会了很多算法知识，对编程更加有兴趣了,5.0
慕士塔格ykt1422784516166,数据结构：算法，逻辑，存储。结构：是表示实体与关系的。存储结构：线性，连接，索引，哈希,5.0
xigesi163com,我觉得知识点讲解的很细，听起来能感觉到张老师花费了很大心思，只是我没有一点相关基础，听起来比较费劲，一定要坚持听。,5.0
zhangshitian,还好啊，就是测验比较难。,5.0
NovakChan,老师经常出现，助教大大们也很热心的棒我们解决问题，学到就是赚到,5.0
weiyanyan,慕课老师将的详细，与真实的课堂老师讲的内容互补，让我知道了更多知识,5.0
Leonard11,老师讲课非常好，课程作业也很不错。,5.0
王木杉19,数据结构比较难，但是老师深入浅出，讲的很好，习题也很充足,5.0
空山新雨mooc22,老师讲的很好，提问题也非常耐心的解答！,5.0
mooc1600011772,内容丰富，作业适当！,5.0
mightymac,讲的非常好,5.0
秦晓宇,老师讲得很棒！,5.0
本护1701_U201712776何志翔,真的很不错呀,5.0
madksou,老师讲解的非常好，如果能多一些代码实例就更好了。,5.0
陌mooc255,讲课细致，收获颇多，值得推荐,5.0
李佩佳,慢慢学习就有收获,4.0
mooc1511960214877,很好，特别好懂，但是更新太慢了，还有，图去哪呢，我怎么找不到第五章,5.0
mooc1520579116052,棒棒棒棒棒,5.0
王盒子,进度太慢了,3.0
叶子mooc447,这门课老师讲的很浅显易懂，适合初学者。,3.0
小林R,准备充足，课程流畅。但是，有的概念讲解似乎有点不够具体，需要再结合书本详细了解才可以,4.0
Dreamerykt1456564490335,对数据结构有基础的讲解，要是有了习题的讲解就更好了,3.0
JLXY2017020800220姚昊霖,66666666,5.0
Invictus潇,好的不得了,5.0
陈芷安2000,非常好，老师讲得很仔细，很用心，谢谢老师，交给了我们这么有用的程序设计方面的知识！希望以后还有更好的提高课程，我还会来学！,5.0
LeoooY,非常好，对我很有帮助,5.0
Deetiny,内容丰富，课堂生动，对我有很大的益处，感谢讲师，感谢这个平台,5.0
OceanExplorer,非常好的课程，内容清晰、老师讲解细致，学习起来轻松多了。最佩服的是，老师讲课时行云流水般的思维和逻辑，有一种美感。很高兴能参加这次课程的学习，受益良多！再次感谢！,5.0
Student6,课程很好，但我觉得一开始难度有点不适应，非计算机专业的我学着很吃力，后面就开始适应了,5.0
让世界知道我不认书,将的很透彻，适合系统的学习。,5.0
ELjing,讲解细致，希望每章加上综合对比总结。,4.0
mooc1510317679354,很好的一门课程!,5.0
ykt1521721665318,课程结构不错，由浅入深，内容也较全面，但老师在不少地方讲的都有些错误，有待提高。,4.0
Adda_Chen,；老师普通话可以在提高一些，，，，,5.0
CWUC--罗震,很棒强烈推荐,5.0
造雨人mooc2,老师讲得太棒了,5.0
浅蓝色gg,goodd,5.0
magical风铃,讲的很仔细，很多不懂的地方都会铺开讲，收获很多。,5.0
JmsAllen,讲得很清晰！,5.0
